desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
NGC1796,,GAL_GENERIC,Dor,5.04528,-61.14,1.93,12.48,V,22.44
IC407,,GAL_SA,Lep,5.29528,-15.5231,1.93,14.2,B,
NGC2535,,GAL_GENERIC,Cnc,8.18667,25.2067,1.93,12.6,V,22.88
NGC2619,,GAL_SA,Cnc,8.62556,28.705,1.93,12.72,V,23.19
IC530,,GAL_SA,Cnc,9.25444,11.8856,1.93,14.3,B,23.36
NGC3302,,GAL_S0,Ant,10.59639,-32.3583,1.93,13.51,B,23.71
NGC3509,,GAL_SA,Leo,11.07306,4.8283,1.93,14.0,B,23.41
NGC3823,,GAL_E,Crt,11.70417,-13.8667,1.93,14.0,B,24.0
NGC4291,,GAL_E,Dra,12.33806,75.3706,1.93,17.0,B,22.68
NGC4309,,GAL_S0A,Vir,12.36972,7.1442,1.93,14.3,B,23.66
NGC4310,,GAL_S0A,Com,12.37389,29.2089,1.93,13.22,B,23.64
NGC4562,,GAL_SB,Com,12.59306,25.85,1.93,14.6,B,23.59
NGC4544,,GAL_SB,Vir,12.59333,3.0344,1.93,14.4,B,23.42
IC3773,,GAL_E,Vir,12.78722,10.2033,1.93,14.3,B,24.29
NGC5105,,GAL_SA,Vir,13.36333,-13.2067,1.93,13.3,B,22.69
NGC7385,,GAL_E,Peg,22.83167,11.6083,1.93,14.4,B,23.44
NGC2573,,GAL_SA,Oct,1.69333,-89.3342,1.92,14.15,B,23.47
NGC846,,GAL_SB,And,2.20306,44.5683,1.92,13.2,B,23.16
NGC877,,GAL_SAB,Ari,2.29972,14.5439,1.92,12.5,B,22.47
NGC1460,,GAL_S0,Eri,3.77056,-36.6964,1.92,13.52,B,23.64
NGC2642,,GAL_SA,Hya,8.67889,-4.1217,1.92,12.6,B,23.35
NGC2749,,GAL_E,Cnc,9.08917,18.3131,1.92,13.3,B,23.07
IC600,,GAL_SB,Sex,10.28639,-3.4978,1.92,16.3,V,23.36
NGC3182,,GAL_S0A,UMa,10.32556,58.2056,1.92,13.0,B,23.15
NGC3630,,GAL_S0,Leo,11.33806,2.9642,1.92,12.91,B,22.98
NGC4068,,GAL_IRR,UMa,12.06667,52.5881,1.92,13.29,B,22.78
NGC4343,,GAL_SA,Vir,12.39417,6.9539,1.92,13.5,B,23.47
NGC4411B,,GAL_SAB,Vir,12.44639,8.8844,1.92,14.4,B,23.04
NGC4686,,GAL_SA,UMa,12.77778,54.5342,1.92,13.7,B,23.3
NGC7288,,GAL_SA,Aqr,22.47056,-2.8842,1.92,14.5,B,23.81
NGC212,,GAL_ES0,Phe,0.67028,-56.1531,1.91,14.43,B,24.47
NGC227,,GAL_E,Cet,0.71028,-1.5289,1.91,13.7,B,23.38
NGC661,,GAL_E,Tri,1.7375,28.7058,1.91,13.0,B,23.43
NGC1132,,GAL_E,Cet,2.88083,-1.2744,1.91,13.9,B,23.5
NGC1616,,GAL_SAB,Cae,4.54472,-43.7156,1.91,13.65,B,22.99
NGC1628,,GAL_SA,Eri,4.62667,-4.7144,1.91,14.0,B,23.39
NGC2513,,GAL_E,Cnc,8.04028,9.4133,1.91,13.7,B,22.89
NGC3156,,GAL_S0,Sex,10.21139,3.1292,1.91,12.8,B,23.18
NGC3250C,,GAL_SAB,Ant,10.46167,-40.0022,1.91,14.23,V,23.77
NGC3256C,,GAL_SB,Vel,10.48472,-43.8492,1.91,13.31,B,23.13
NGC3273,,GAL_S0,Ant,10.50806,-35.6106,1.91,12.93,V,23.64
NGC3329,,GAL_SA,Dra,10.74417,76.8092,1.91,12.9,B,22.73
NGC3516,,GAL_S0,UMa,11.11306,72.5683,1.91,12.4,V,22.69
NGC3546,,GAL_ES0,Crt,11.16306,-13.3806,1.91,14.0,B,24.56
NGC3625,,GAL_SA,UMa,11.34167,57.7814,1.91,13.9,B,23.28
NGC3650,,GAL_SA,Leo,11.37639,20.7039,1.91,14.6,B,23.51
NGC3756,,GAL_SAB,UMa,11.61306,54.2933,1.91,12.1,B,21.69
NGC3835,,GAL_SA,UMa,11.73444,60.1197,1.91,13.0,B,22.71
NGC3884,,GAL_SA,Leo,11.76972,20.3914,1.91,12.88,V,23.57
NGC3922,,GAL_S0A,UMa,11.85333,50.1567,1.91,13.8,B,23.56
NGC3968,,GAL_SA,Leo,11.92444,11.9683,1.91,13.3,B,23.18
NGC5090A,,GAL_S0,Cen,13.32222,-43.6492,1.91,13.99,B,24.5
NGC5266A,,GAL_GENERIC,Cen,13.67667,-48.3417,1.91,13.82,V,23.0
NGC5304,,GAL_ES0,Cen,13.83333,-30.5783,1.91,13.56,V,23.75
NGC5668,,GAL_SA,Vir,14.55667,4.4503,1.91,12.7,B,22.25
NGC6000,,GAL_SB,Sco,15.83056,-29.3867,1.91,13.02,B,23.06
NGC6433,,GAL_SA,Her,17.73194,36.8,1.91,14.1,B,23.23
NGC6636NED01,,GAL_SA,Dra,18.36722,66.6164,1.91,14.2,B,23.22
NGC6824,,GAL_SA,Cyg,19.72806,56.1094,1.91,13.1,B,22.88
NGC7107,,GAL_SB,Gru,21.70694,-44.7903,1.91,13.21,B,22.86
NGC7115,,GAL_SA,PsA,21.72722,-25.3517,1.91,13.95,B,23.45
NGC7153,,GAL_SA,PsA,21.90944,-29.0633,1.91,14.28,B,23.35
IC5170,,GAL_SB,Gru,22.20806,-47.2217,1.91,13.3,B,23.1
NGC7408,,GAL_GENERIC,Tuc,22.9325,-63.6944,1.91,15.41,V,22.64
IC5334,,GAL_SA,Aqr,23.57667,-4.5342,1.91,14.1,B,23.4
NGC78,,GAL_PAIR,Psc,0.34056,0.8294,1.9,,V,
IC1649,,GAL_SA,Phe,1.1975,-55.8569,1.9,14.71,B,23.55
NGC630,,GAL_ES0,Scl,1.59306,-39.3578,1.9,13.57,B,23.74
IC1903,,GAL_PAIR,Hor,3.21917,-50.5694,1.9,,V,
NGC1265,,GAL_E,Per,3.30417,41.8575,1.9,14.7,B,23.3
NGC1325A,,GAL_SA,Eri,3.41333,-21.3358,1.9,12.83,V,23.48
NGC1736,,EMISSION,Dor,4.88389,-68.0531,1.9,15.5,B,
NGC1852,,GLOBULAR,Dor,5.15667,-67.7764,1.9,12.01,V,
NGC1903,,GLOBULAR,Dor,5.28917,-69.3353,1.9,11.86,V,
NGC1934,,CLUSTERNEB,Dor,5.36306,-67.9369,1.9,10.5,V,
NGC2002,,GLOBULAR,Dor,5.50556,-66.885,1.9,10.84,V,
NGC2097,,GLOBULAR,Dor,5.73778,-62.7856,1.9,13.67,V,
IC2143,,GAL_SB,Lep,5.78139,-18.7264,1.9,13.41,B,23.0
NGC2159,,GLOBULAR,Dor,5.96778,-68.6231,1.9,11.38,V,
NGC2894,,GAL_SA,Leo,9.49167,7.7186,1.9,13.4,B,23.12
NGC3173,,GAL_SA,Ant,10.24306,-27.6928,1.9,13.56,B,23.69
NGC3915,,GAL_S0A,Vir,11.82333,-5.1181,1.9,14.25,B,24.62
NGC4284,,GAL_SA,UMa,12.33667,58.0928,1.9,14.7,B,24.0
