desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
NGC4038,Antennae Galaxies,GAL_SB,Crv,12.03139,-18.8672,5.42,10.91,B,22.94
NGC129,,OPENCLUSTER,Cas,0.49917,60.2111,5.4,6.5,V,
NGC1807,,OPENCLUSTER,Tau,5.17917,16.5125,5.4,7.0,V,
NGC1907,,OPENCLUSTER,Aur,5.46806,35.3256,5.4,8.2,V,
NGC2141,,OPENCLUSTER,Ori,6.04833,10.4464,5.4,9.4,V,
NGC2175,,CLUSTERNEB,Ori,6.16083,20.4875,5.4,6.8,V,
NGC2192,,OPENCLUSTER,Aur,6.25444,39.855,5.4,10.9,V,
NGC2236,,OPENCLUSTER,Mon,6.49417,6.8306,5.4,8.5,V,
NGC2286,,OPENCLUSTER,Mon,6.79417,-3.1478,5.4,7.5,V,
NGC2309,,OPENCLUSTER,Mon,6.93417,-7.1742,5.4,10.5,V,
NGC2367,,OPENCLUSTER,CMa,7.33444,-21.8842,5.4,7.9,V,
NGC2414,,OPENCLUSTER,Pup,7.55333,-15.4539,5.4,7.9,V,
NGC2432,,OPENCLUSTER,Pup,7.68167,-19.0692,5.4,10.2,V,
NGC2627,,OPENCLUSTER,Pyx,8.62056,-29.9506,5.4,8.4,V,
Mel105,,OPENCLUSTER,Car,11.32806,-63.4831,5.4,8.5,V,
NGC4230,,OPENCLUSTER,Cen,12.28556,-55.2858,5.4,9.4,V,
NGC4609,Coalsack Cluster,OPENCLUSTER,Cru,12.70444,-62.9956,5.4,6.9,V,
NGC4852,,OPENCLUSTER,Cen,13.00083,-59.6092,5.4,8.9,V,
NGC5986,,GLOBULAR,Lup,15.7675,-37.7858,5.4,6.92,V,
NGC6144,,GLOBULAR,Sco,16.45389,-26.0244,5.4,9.63,V,
NGC6287,,GLOBULAR,Oph,17.08556,-22.7081,5.4,10.3,V,
NGC6356,,GLOBULAR,Oph,17.39306,-17.8131,5.4,7.42,V,
NGC6453,,GLOBULAR,Sco,17.84778,-34.6,5.4,10.49,B,
NGC6520,,OPENCLUSTER,Sgr,18.05667,-27.8858,5.4,7.6,V,
NGC6553,,GLOBULAR,Sgr,18.15444,-25.9078,5.4,9.08,B,
NGC6558,,GLOBULAR,Sgr,18.17167,-31.7633,5.4,11.29,V,
NGC6645,,OPENCLUSTER,Sgr,18.54389,-16.8839,5.4,8.5,V,
NGC6760,,GLOBULAR,Aql,19.18667,1.0303,5.4,9.78,V,
NGC6934,,GLOBULAR,Del,20.56944,7.4039,5.4,9.75,V,
NGC4388,,GAL_SB,Vir,12.42944,12.6619,5.38,11.02,V,23.2
NGC3877,,GAL_SA,UMa,11.76889,47.4942,5.36,11.8,B,23.01
NGC4039,Antennae Galaxies,GAL_SB,Crv,12.03167,-18.8858,5.36,11.08,B,22.82
NGC5161,,GAL_SA,Cen,13.48694,-33.1739,5.36,11.0,V,23.43
NGC5566,,GAL_SB,Vir,14.33889,3.9336,5.36,10.55,V,23.3
NGC6300,,GAL_SB,Ara,17.28306,-62.8206,5.33,13.08,V,23.0
NGC5247,,GAL_SAB,Vir,13.63417,-17.8842,5.32,10.77,B,22.95
NGC1332,,GAL_ES0,Eri,3.43806,-21.3353,5.31,11.45,B,23.55
NGC2146,,GAL_SB,Cam,6.31056,78.3569,5.31,10.59,V,22.76
NGC1783,,GLOBULAR,Dor,4.98556,-65.9869,5.3,10.93,V,
NGC4429,,GAL_S0A,Vir,12.45722,11.1075,5.3,11.4,B,23.17
IC4721,,GAL_GENERIC,Pav,18.57333,-58.4967,5.3,11.63,V,23.75
NGC1744,,GAL_SB,Lep,4.99917,-26.0219,5.28,11.41,V,23.23
NGC3726,,GAL_SA,UMa,11.55556,47.0292,5.27,11.11,B,22.7
NGC5643,,GAL_SA,Lup,14.54444,-44.1742,5.27,13.6,V,23.02
NGC7606,,GAL_SA,Aqr,23.31806,-8.4847,5.26,11.5,B,23.81
NGC3175,,GAL_SA,Ant,10.24472,-28.8717,5.25,12.14,B,23.84
NGC1617,,GAL_SB,Dor,4.52778,-54.6019,5.24,10.26,V,23.17
NGC3384,,GAL_ES0,Leo,10.80444,12.6292,5.24,10.0,B,23.17
NGC4144,,GAL_SAB,UMa,12.16639,46.4569,5.24,12.17,B,23.01
NGC3077,,GAL_SA,UMa,10.05528,68.7339,5.21,10.14,V,22.8
NGC1763,,CLUSTERNEB,Dor,4.94667,-66.4092,5.2,9.4,V,
NGC1350,,GAL_SA,For,3.51889,-33.6283,5.18,10.52,V,23.06
NGC1964,,GAL_SAB,Lep,5.55583,-21.9456,5.16,10.81,V,23.25
NGC7456,,GAL_SA,Gru,23.03583,-39.5692,5.15,12.27,B,23.74
IC5152,,GAL_IRR,Ind,22.045,-51.2964,5.13,10.9,V,22.38
NGC1340,,GAL_E,For,3.47194,-31.0681,5.12,10.32,V,23.6
NGC4365,,GAL_E,Vir,12.40778,7.3175,5.12,11.5,B,22.9
NGC1261,,GLOBULAR,Hor,3.20417,-55.2167,5.1,8.63,V,
NGC1513,,OPENCLUSTER,Per,4.16528,49.5172,5.1,8.4,V,
NGC1760,,HII,Dor,4.94556,-66.5269,5.1,,V,
NGC2014,,NEBULA,Dor,5.53889,-67.6894,5.1,8.97,V,
NGC2243,,OPENCLUSTER,CMa,6.49278,-31.2814,5.1,9.4,V,
NGC2250,,OPENCLUSTER,Mon,6.56389,-5.0842,5.1,8.9,V,
NGC2421,,OPENCLUSTER,Pup,7.60306,-20.6119,5.1,8.3,V,
NGC2659,,OPENCLUSTER,Vel,8.70917,-45.0006,5.1,8.6,V,
NGC3293,,OPENCLUSTER,Car,10.59667,-58.2242,5.1,4.7,V,
NGC3330,,OPENCLUSTER,Vel,10.64556,-54.1306,5.1,7.4,V,
NGC3590,,OPENCLUSTER,Car,11.21639,-60.7892,5.1,8.2,V,
NGC4052,,OPENCLUSTER,Cru,12.03444,-63.2233,5.1,8.8,V,
IC4291,,OPENCLUSTER,Cen,13.61556,-62.0931,5.1,9.7,V,
NGC5617,,OPENCLUSTER,Cen,14.49556,-60.7106,5.1,6.3,V,
IC4499,,GLOBULAR,Aps,15.00528,-82.2133,5.1,8.56,V,
NGC5824,,GLOBULAR,Lup,15.06639,-33.0681,5.1,9.56,V,
NGC6440,,GLOBULAR,Sgr,17.81444,-20.3594,5.1,10.1,V,
NGC6584,,GLOBULAR,Tel,18.31056,-52.2153,5.1,8.17,V,
M28,,GLOBULAR,Sgr,18.40917,-24.8694,5.1,6.9,V,
NGC6652,,GLOBULAR,Sgr,18.59583,-32.9903,5.1,9.75,V,
M54,,GLOBULAR,Sgr,18.9175,-30.4783,5.1,7.7,V,
NGC6749,,GLOBULAR,Aql,19.08778,1.9006,5.1,12.4,V,
H20,,OPENCLUSTER,Sge,19.885,18.3331,5.1,7.7,V,
NGC6866,,OPENCLUSTER,Cyg,20.06528,44.1589,5.1,7.6,V,
NGC1549,,GAL_E,Dor,4.2625,-55.5919,5.09,9.79,V,23.08
NGC5965,,GAL_SAB,Dra,15.56694,56.6856,5.08,13.4,B,23.75
NGC488,,GAL_SA,Psc,1.36306,5.2567,5.05,15.0,B,23.15
M99,Coma Pinwheel,GAL_SA,Com,12.31389,14.4164,5.04,9.87,V,22.6
NGC5054,,GAL_SA,Vir,13.28278,-16.635,5.04,11.3,B,23.45
NGC4312,,GAL_SA,Com,12.37528,15.5378,5.02,11.72,V,23.9
NGC1404,,GAL_E,For,3.64778,-35.5942,5.01,10.0,V,23.26
NGC2336,,GAL_SA,Cam,7.45083,80.1781,5.01,12.51,V,22.98
M58,,GAL_SA,Vir,12.62889,11.8181,5.01,9.66,V,22.49
NGC5253,,GAL_SB,Cen,13.66556,-31.64,5.01,10.49,V,22.28
NGC7424,,GAL_SA,Gru,22.95472,-41.0706,5.01,10.38,V,22.75
NGC1973,,NEBULA,Ori,5.58444,-4.7317,5.0,7.0,B,
NGC2069,,NEBULA,Dor,5.64583,-68.9742,5.0,10.1,V,
IC446,,CLUSTERNEB,Mon,6.51806,10.4592,5.0,,V,
IC2220,Toby Jug Nebula,REFLECTION,Car,7.94722,-59.1256,5.0,,V,
NGC2626,,REFLECTION,Vel,8.59139,-40.6681,5.0,,V,
NGC3247,,HII,Car,10.40389,-57.7631,5.0,7.6,V,
NGC2533,,OPENCLUSTER,Pup,8.11778,-29.8839,4.98,7.6,V,
NGC609,,OPENCLUSTER,Cas,1.60667,64.5364,4.8,11.0,V,
IC2128,,CLUSTERNEB,Dor,5.37889,-68.0608,4.8,11.1,V,
NGC1931,,CLUSTERNEB,Aur,5.52333,34.2464,4.8,10.1,V,
NGC2269,,OPENCLUSTER,Mon,6.72139,4.6242,4.8,10.0,V,
NGC2298,,GLOBULAR,Pup,6.81639,-36.0053,4.8,8.89,V,
NGC2299,,OPENCLUSTER,Mon,6.865,-7.0828,4.8,8.9,V,
NGC2304,,OPENCLUSTER,Gem,6.91972,17.9928,4.8,10.0,V,
NGC2331,,OPENCLUSTER,Gem,7.11667,27.2614,4.8,8.5,V,
NGC2354,,OPENCLUSTER,CMa,7.23444,-25.6889,4.8,6.5,V,
NGC2384,,OPENCLUSTER,CMa,7.41917,-21.0197,4.8,7.4,V,
NGC2509,,OPENCLUSTER,Pup,8.01306,-19.0506,4.8,9.3,V,
NGC2910,,OPENCLUSTER,Vel,9.50806,-52.9139,4.8,7.2,V,
NGC3033,,OPENCLUSTER,Vel,9.80944,-56.4297,4.8,8.8,V,
NGC3255,,OPENCLUSTER,Car,10.44167,-60.6753,4.8,11.0,V,
NGC3324,,CLUSTERNEB,Car,10.62083,-58.6192,4.8,6.7,V,
NGC4463,,OPENCLUSTER,Mus,12.49833,-64.7894,4.8,7.2,V,
NGC5053,,GLOBULAR,Com,13.27417,17.6975,4.8,9.96,V,
NGC5925,,OPENCLUSTER,Nor,15.45722,-54.5289,4.8,8.4,V,
NGC6031,,OPENCLUSTER,Nor,16.12639,-54.015,4.8,8.5,V,
NGC6229,,GLOBULAR,Her,16.78306,47.5278,4.8,9.86,V,
NGC6316,,GLOBULAR,Oph,17.27667,-28.14,4.8,9.03,V,
NGC6425,,OPENCLUSTER,Sco,17.78389,-31.5292,4.8,7.2,V,
NGC6441,,GLOBULAR,Sco,17.83667,-37.0508,4.8,8.0,V,
NGC6507,,OPENCLUSTER,Sgr,17.99722,-17.4503,4.8,9.6,V,
NGC6517,,GLOBULAR,Oph,18.03056,-8.9592,4.8,11.08,B,
NGC7086,,OPENCLUSTER,Cyg,21.50778,51.6003,4.8,8.4,V,
NGC2395,,OPENCLUSTER,Gem,7.45333,13.6081,4.62,8.0,V,
NGC6496,,GLOBULAR,CrA,17.98417,-44.2664,4.62,9.96,B,
NGC2027,,OPENCLUSTER,Dor,5.58306,-66.9164,4.6,10.97,V,
M103,,OPENCLUSTER,Cas,1.55583,60.6578,4.5,7.4,V,
NGC637,,OPENCLUSTER,Cas,1.7175,64.0364,4.5,8.2,V,
NGC956,,OPENCLUSTER,And,2.54167,44.5933,4.5,8.9,V,
NGC1778,,OPENCLUSTER,Aur,5.13472,37.0228,4.5,7.7,V,
NGC1857,,OPENCLUSTER,Aur,5.33472,39.3433,4.5,7.0,V,
NGC2042,,OPENCLUSTER,Dor,5.60278,-68.9231,4.5,9.58,V,
M78,,REFLECTION,Ori,5.77917,0.0792,4.5,8.0,V,
NGC2419,,GLOBULAR,Lyn,7.63556,38.8797,4.5,10.05,V,
NGC2455,,OPENCLUSTER,Pup,7.81639,-21.2981,4.5,10.2,V,
NGC4439,,OPENCLUSTER,Cru,12.47389,-60.1031,4.5,8.4,V,
NGC5634,,GLOBULAR,Vir,14.49333,-5.9764,4.5,10.05,V,
NGC6101,,GLOBULAR,Aps,16.43028,-72.2017,4.5,10.08,V,
NGC6139,,GLOBULAR,Sco,16.46139,-38.8494,4.5,9.68,V,
NGC6204,,OPENCLUSTER,Ara,16.76917,-47.0167,4.5,8.2,V,
NGC6293,,GLOBULAR,Oph,17.16917,-26.5817,4.5,9.02,V,
NGC6401,,GLOBULAR,Oph,17.64333,-23.9089,4.5,10.71,V,
NGC6569,,GLOBULAR,Sgr,18.22722,-31.8278,4.5,9.47,V,
NGC6802,,OPENCLUSTER,Vul,19.50944,20.2608,4.5,8.8,V,
NGC6834,,OPENCLUSTER,Cyg,19.87028,29.4081,4.5,7.8,V,
NGC6883,,OPENCLUSTER,Cyg,20.18889,35.8319,4.5,8.0,V,
M72,,GLOBULAR,Aqr,20.89083,-12.5367,4.5,8.96,V,
NGC1747,,OPENCLUSTER,Dor,4.91944,-67.1689,4.4,9.37,V,
NGC1858,,CLUSTERNEB,Dor,5.16417,-68.8914,4.4,9.88,V,
NGC225,,OPENCLUSTER,Cas,0.72667,61.7667,4.2,7.0,V,
NGC659,,OPENCLUSTER,Cas,1.73944,60.6692,4.2,7.9,V,
NGC1545,,OPENCLUSTER,Per,4.34889,50.2553,4.2,6.2,V,
NGC2180,,OPENCLUSTER,Ori,6.16,4.7114,4.2,9.0,B,
NGC2186,,OPENCLUSTER,Ori,6.20167,5.4583,4.2,8.7,V,
NGC2254,,OPENCLUSTER,Mon,6.59694,7.6731,4.2,9.1,V,
NGC2266,,OPENCLUSTER,Gem,6.72167,26.9694,4.2,9.5,V,
NGC2383,,OPENCLUSTER,CMa,7.41083,-20.9478,4.2,8.4,V,
NGC2467,,CLUSTERNEB,Pup,7.87306,-26.4431,4.2,,V,
NGC2489,,OPENCLUSTER,Pup,7.93722,-30.0606,4.2,7.9,V,
NGC2670,,OPENCLUSTER,Vel,8.75806,-48.7917,4.2,7.8,V,
NGC5138,,OPENCLUSTER,Cen,13.45417,-59.0406,4.2,5.33,V,
NGC5168,,OPENCLUSTER,Cen,13.51806,-60.9392,4.2,9.1,V,
NGC6005,,OPENCLUSTER,Nor,15.93028,-57.4372,4.2,10.7,V,
NGC6169,,OPENCLUSTER,Sco,16.56806,-44.0456,4.2,6.6,V,
NGC6216,,OPENCLUSTER,Sco,16.82306,-44.7317,4.2,10.1,V,
NGC6235,,GLOBULAR,Oph,16.89028,-22.1772,4.2,7.2,V,
NGC6256,,GLOBULAR,Sco,16.99222,-37.1214,4.2,,V,
NGC6404,,OPENCLUSTER,Sco,17.66028,-33.2467,4.2,10.6,V,
NGC6638,,GLOBULAR,Sgr,18.51556,-25.4964,4.2,9.68,V,
NGC6830,,OPENCLUSTER,Vul,19.85,23.1,4.2,7.9,V,
NGC7006,,GLOBULAR,Del,21.02444,16.1875,4.2,10.46,V,
NGC7160,,OPENCLUSTER,Cep,21.89417,62.6031,4.2,6.1,V,
IC1442,,OPENCLUSTER,Lac,22.26667,53.9911,4.2,9.1,V,
NGC1770,,CLUSTERNEB,Dor,4.95417,-68.4181,4.1,,V,
NGC1769,,EMISSION,Dor,4.96306,-66.4692,4.1,,V,
NGC246,,PLANETARY,Cet,0.78417,-11.8717,4.08,10.9,V,
NGC3105,,OPENCLUSTER,Vel,10.01083,-54.7878,4.08,9.7,V,
NGC3572,,OPENCLUSTER,Car,11.17167,-60.2481,4.08,6.6,V,
NGC6540,,GLOBULAR,Sgr,18.10194,-27.7628,4.08,,V,
NGC6325,,GLOBULAR,Oph,17.29944,-23.7658,4.02,11.49,B,
IC1871,,HII,Cas,2.95583,60.6722,4.0,,V,
IC2087,,NEBULA,Tau,4.66667,25.7419,4.0,,V,
NGC1841,,GLOBULAR,Men,4.75639,-83.9992,4.0,11.43,V,
NGC1955,,HII,Dor,5.43583,-67.4975,4.0,8.87,V,
NGC1978,,GLOBULAR,Dor,5.47917,-66.2356,4.0,10.7,V,
NGC2074,,CLUSTERNEB,Dor,5.65083,-69.4981,4.0,8.5,B,
NGC2103,,HII,Men,5.69417,-71.3331,4.0,10.82,V,
IC2162,,HII,Ori,6.21806,17.98,4.0,,V,
NGC2257,,GLOBULAR,Dor,6.50389,-64.3256,4.0,12.62,V,
NGC2316,,NEBULA,Mon,6.99444,-7.7778,4.0,,V,
NGC6589,,NEBULA,Sgr,18.28167,-19.7769,4.0,10.5,B,
NGC6590,,REFLECTION,Sgr,18.28444,-19.8658,4.0,9.8,B,
IC435,,REFLECTION,Ori,5.71667,-2.3125,3.98,,V,
NGC1918,,REMNANT,Dor,5.31833,-69.6622,3.9,,V,
NGC2129,,OPENCLUSTER,Gem,6.01833,23.3219,3.9,6.7,V,
NGC4815,,OPENCLUSTER,Mus,12.96583,-64.9617,3.9,8.6,V,
NGC5823,,OPENCLUSTER,Cir,15.09167,-55.6039,3.9,7.9,V,
NGC6357,War and Peace Nebula,CLUSTERNEB,Sco,17.41194,-34.2014,3.9,,V,
NGC6380,,GLOBULAR,Sco,17.57417,-39.0694,3.9,,V,
NGC6522,,GLOBULAR,Sgr,18.05917,-30.0339,3.9,9.48,V,
NGC6642,,GLOBULAR,Sgr,18.53167,-23.4758,3.9,10.24,V,
NGC6717,,GLOBULAR,Sgr,18.91806,-22.7017,3.9,10.35,V,
NGC7031,,OPENCLUSTER,Cyg,21.12028,50.8756,3.9,9.1,V,
NGC7245,,OPENCLUSTER,Lac,22.25306,54.3425,3.9,9.2,V,
NGC7510,,OPENCLUSTER,Cep,23.18417,60.5708,3.9,7.9,V,
NGC121,,GLOBULAR,Tuc,0.44667,-71.5356,3.8,11.24,V,
NGC1831,,GLOBULAR,Dor,5.10444,-64.9175,3.8,11.18,V,
NGC1846,,GLOBULAR,Dor,5.12583,-67.4614,3.8,11.31,V,
NGC146,,OPENCLUSTER,Cas,0.55083,63.3089,3.6,9.1,V,
NGC1444,,OPENCLUSTER,Per,3.82444,52.6553,3.6,6.6,V,
NGC1910,,HII,Dor,5.31167,-69.2317,3.6,9.65,V,
NGC2660,,OPENCLUSTER,Vel,8.71056,-47.2006,3.6,8.8,V,
NGC2972,,OPENCLUSTER,Vel,9.66972,-50.3206,3.6,9.9,V,
NGC5606,,OPENCLUSTER,Cen,14.46306,-59.6319,3.6,7.7,V,
NGC5715,,OPENCLUSTER,Cir,14.72472,-57.5767,3.6,9.8,V,
NGC5946,,GLOBULAR,Nor,15.59139,-50.6594,3.6,10.72,V,
NGC6304,,GLOBULAR,Oph,17.24222,-29.4619,3.6,9.03,V,
NGC6535,,GLOBULAR,---,18.06417,0.2967,3.6,9.85,V,
NGC6528,,GLOBULAR,Sgr,18.08056,-30.0556,3.6,10.65,V,
NGC6583,,OPENCLUSTER,Sgr,18.26333,-22.1378,3.6,10.0,V,
NGC6647,,OPENCLUSTER,Sgr,18.54667,-17.2283,3.6,8.0,V,
NGC6756,,OPENCLUSTER,Aql,19.14528,4.7056,3.6,10.6,V,
M75,,GLOBULAR,Sgr,20.10139,-21.9219,3.6,8.26,V,
M29,,OPENCLUSTER,Cyg,20.39917,38.5075,3.6,6.6,V,
NGC7062,,OPENCLUSTER,Cyg,21.39056,46.3783,3.6,8.3,V,
NGC7686,,OPENCLUSTER,And,23.50167,49.1339,3.6,5.6,V,
NGC7790,,OPENCLUSTER,Cas,23.97306,61.2081,3.6,8.5,V,
NGC1466,,GLOBULAR,Hyi,3.7425,-71.6717,3.5,11.59,V,
NGC1711,,GLOBULAR,Men,4.84306,-69.9856,3.5,11.1,V,
IC4706,,NEBULA,Sgr,18.32667,-16.0314,3.47,,V,
IC4707,,NEBULA,Sgr,18.33167,-16.0092,3.47,,V,
NGC1605,,OPENCLUSTER,Per,4.58083,45.2714,3.3,10.7,V,
NGC2031,,GLOBULAR,Men,5.56167,-70.9867,3.3,10.83,V,
IC2146,,GLOBULAR,Men,5.62944,-74.7831,3.3,12.41,V,
NGC2210,,GLOBULAR,Dor,6.19167,-69.1214,3.3,10.94,V,
NGC2483,,OPENCLUSTER,Pup,7.9275,-27.8867,3.3,7.6,V,
NGC2579,,CLUSTERNEB,Pup,8.34806,-36.2169,3.3,,V,
NGC3603,,CLUSTERNEB,Car,11.25167,-61.2608,3.3,,V,
NGC5694,,GLOBULAR,Hya,14.66028,-26.5381,3.3,10.89,V,
NGC5999,,OPENCLUSTER,Nor,15.86917,-56.4728,3.3,9.0,V,
IC1257,,GLOBULAR,Oph,17.45194,-7.0931,3.3,,V,
NGC6396,,OPENCLUSTER,Sco,17.62667,-35.0256,3.3,8.5,V,
NGC6624,,GLOBULAR,Sgr,18.39444,-30.3614,3.3,,V,
NGC6704,,OPENCLUSTER,Sct,18.84583,-5.2056,3.3,9.2,V,
NGC2020,,EMISSION,Dor,5.55333,-67.7156,3.2,,V,
NGC2203,,GLOBULAR,Men,6.07833,-75.4381,3.2,11.29,V,
NGC1818,,GLOBULAR,Dor,5.07056,-66.4342,3.1,9.7,B,
NGC2214,,OPENCLUSTER,Dor,6.21556,-68.2606,3.1,10.93,V,
